"1","Dinar algérien","dinar","DZD"
"2","Livre égyptienne","E£","EGP"
"3","Dinar libyen","dinar","LYD"
"4","Dirham marocain","dirham","MAD"
"5","Ouguiya","ouguiya","MRU"
"6","Livre soudanaise","s£, sudan pounds","SDG"
"7","Dinar tunisien","DT","TND"
"8","Franc CFA (UEMOA)","F CFA, franc","XOF"
"10","Escudo du Cap-Vert","escudo","CVE"
"11","Dalasi","dalasi","GMD"
"12","Cedi","cedi","GHS"
"13","Franc guinéen","F, franc","GNF"
"14","Dollar libérien","dollar","LRD"
"15","Naira","N, naira","NGN"
"16","Leone","leone","SLL"
"17","Franc CFA (CEMAC)","F CFA, franc","XAF"
"18","Franc congolais","F/FC, franc","CDF"
"19","Dobra","dobra","STD"
"20","Franc burundais","F, franc","BIF"
"21","Franc de Djibouti","F, franc","DJF"
"22","Nakfa","nakfa","ERN"
"23","birr","Birr","ETB"
"24","Shilling kényan","shilling","KES"
"25","Shilling ougandais","shilling","UGX"
"26","Franc rwandais","F, franc","RWF"
"27","Roupie seychelloise","roupie","SCR"
"28","Shilling somalien","shilling","SOS"
"29","Livre sud-soudanaise","South Sudanese pound","SSP"
"30","Shilling tanzanien","shilling","TZS"
"31","Rand","R, rand","ZAR"
"32","Kwanza","Kz, kwanza","AOA"
"33","Pula","pula","BWP"
"34","Couronne norvégienne","krone","NOK"
"35","Franc comorien","FC, franc","KMF"
"36","Euro","€","EUR"
"37","Loti","loti","LSL"
"38","Ariary","ariary","MGA"
"39","Kwacha malawien","kwacha","MWK"
"40","Roupie mauricienne","roupie","MUR"
"41","Metical","MTn, metical","MZN"
"42","Dollar namibien","dollar","NAD"
"43","Livre de Sainte-Hélène","£","SHP"
"44","Lilangeni","lilangeni","SZL"
"45","Kwacha de Zambie","kwacha","ZMW"
"46","Dollar du Zimbabwe","dollar","ZWL"
"47","Tenge","tenge","KZT"
"48","Som","som","KGS"
"49","Sum","sum","UZS"
"50","Somoni","somoni","TJS"
"51","Manat turkmène","manat","TMT"
"52","Dram","dram","AMD"
"53","Manat azerbaïdjanais","manat","AZN"
"54","Lari","lari","GEL"
"55","Rouble russe","rouble","RUB"
"56","Yuan renminbi","renminbi","CNY"
"57","Won nord-coréen","Wn.","KPW"
"58","Won sud-coréen","W.","KRW"
"59","Dollar de Hong Kong","dollar, $","HKD"
"60","Yen","yen","JPY"
"61","Pataca","pataca","MOP"
"62","Tugrik","tugrik","MNT"
"63","Nouveau dollar de Taïwan","NT$, dollar, yuan","TWD"
"64","Afghani","afghani","AFN"
"65","Riyal saoudien","riyal","SAR"
"66","Dinar de Bahreïn","dinar","BHD"
"67","Dirham des Émirats arabes unis","DH, dirham émirati","AED"
"68","Rial iranien","rial","IRR"
"69","Dinar irakien","dinar","IQD"
"70","Shekel","shekel","ILS"
"71","Dinar jordanien","dinar","JOD"
"72","Dinar koweïtien","dinar","KWD"
"73","Livre libanaise","livre","LBP"
"74","Rial omanais","rial","OMR"
"75","Riyal qatari","rial","QAR"
"76","Livre syrienne","livre","SYP"
"77","Livre turque","livre","TRY"
"78","Riyal yéménite","rial","YER"
"79","Kyat","kyat","MMK"
"80","Dollar de Brunei","B$","BND"
"81","Riel","riel","KHR"
"82","Rupiah","roupie","IDR"
"83","Kip","kip","LAK"
"84","Ringgit","RM, ringgit","MYR"
"85","Peso philippin","peso, piso","PHP"
"86","Dollar de Singapour","S$","SGD"
"87","Baht","bath","THB"
"88","Dollar américain","$","USD"
"89","Dong","dong","VND"
"90","Taka","taka","BDT"
"91","Ngultrum","Nu","BTN"
"92","Roupie indienne","Re","INR"
"93","Rufiyaa","rf","MVR"
"94","Roupie népalaise","roupie","NPR"
"95","Roupie pakistanaise","Rs","PKR"
"96","Roupie srilankaise","Rs","LKR"
"97","Dollar des Bermudes","BD$","BMD"
"98","Dollar canadien","$ CA","CAD"
"99","Couronne danoise","kroner, kr","DKK"
"100","Peso mexicain","$, peso","MXN"
"101","Dollar de Belize","BZ$","BZD"
"102","Colon du Costa Rica","colón","CRC"
"103","Quetzal","quetzal","GTQ"
"104","Lempira","lempira","HNL"
"105","Córdoba oro","córdoba","NIO"
"106","Balboa","balboa","PAB"
"107","Dollar des Caraïbes orientales","EC$","XCD"
"108","Florin arubais","AFL","AWG"
"109","Dollar des Bahamas","B$","BSD"
"110","Dollar barbadien","Bds$","BBD"
"111","Dollar des îles Caïmans","CI$","KYD"
